Filename,Start,End
AK_Aalap1_Bag,13.795276,155.845646
AK_Aalap1_Bahar,12.778641,179.209824
AK_Aalap1_Bilas,14.781867,187.453566
AK_Aalap1_Jaun,15.662073,209.129412
AK_Aalap1_Kedar,13.073694,196.105416
AK_Aalap1_MM,12.809395,202.66919
AK_Aalap1_Marwa,12.637393,201.391641
AK_Aalap1_Nand,11.613042,202.172504
AK_Aalap1_Shree,13.529457,190.906443
AK_Aalap2_Bag,14.091188,197.276629
AK_Aalap2_Bahar,13.376396,171.917086
AK_Aalap2_Bilas,14.635707,192.816936
AK_Aalap2_Jaun,10.191203,189.482411
AK_Aalap2_Kedar,12.842542,214.479825
AK_Aalap2_MM,15.062052,205.939325
AK_Aalap2_Marwa,20.105897,194.533373
AK_Aalap2_Nand,13.897646,189.990991
AK_Aalap2_Shree,13.300857,202.772011
AK_Pakad_Bag,13.485177,49.945102
AK_Pakad_Bahar,11.341299,43.263486
AK_Pakad_Bilas,14.411584,60.618374
AK_Pakad_Jaun,13.818984,49.205452
AK_Pakad_Kedar,11.288349,42.950793
AK_Pakad_MM,13.390521,60.597782
AK_Pakad_Marwa,13.599627,64.760129
AK_Pakad_Nand,12.654651,48.597707
AK_Pakad_Shree,14.745277,43.632224
