Filename,Start,End
AP_Aalap1_Bag,14.340572,193.513362
AP_Aalap1_Bahar,14.510827,181.224999
AP_Aalap1_Bilas,17.48539,201.687919
AP_Aalap1_Jaun,13.960855,197.154514
AP_Aalap1_Kedar,14.196743,187.300213
AP_Aalap1_MM,13.979339,199.079261
AP_Aalap1_Marwa,14.90533,197.453755
AP_Aalap1_Nand,14.798181,188.310915
AP_Aalap1_Shree,14.572494,196.389777
AP_Aalap2_Bag,16.163997,198.438853
AP_Aalap2_Bahar,13.017098,185.554286
AP_Aalap2_Bilas,14.305202,198.204611
AP_Aalap2_Jaun,14.793412,197.755608
AP_Aalap2_Kedar,14.658975,192.898783
AP_Aalap2_MM,14.598454,195.820639
AP_Aalap2_Marwa,12.763698,198.603146
AP_Aalap2_Nand,17.769412,197.832784
AP_Aalap2_Shree,16.979414,197.578636
AP_Pakad_Bag,16.005705,44.865733
AP_Pakad_Bahar,14.441274,37.663424
AP_Pakad_Bilas,14.784,52.498286
AP_Pakad_Jaun,15.836769,50.29947
AP_Pakad_Kedar,15.39585,40.260147
AP_Pakad_MM,15.242222,51.004571
AP_Pakad_Marwa,12.893221,64.688403
AP_Pakad_Nand,14.380101,42.31386
AP_Pakad_Shree,15.178039,39.240784
