Filename,Start,End
MG_Aalap1_Bag,14.462477,197.029974
MG_Aalap1_Bahar,13.205997,192.857389
MG_Aalap1_Bilas,15.59266,191.360717
MG_Aalap1_Jaun,13.023804,199.298474
MG_Aalap1_Kedar,12.32952,192.357181
MG_Aalap1_MM,13.487866,201.621849
MG_Aalap1_Marwa,14.953413,193.72977
MG_Aalap1_Nand,14.029518,187.246239
MG_Aalap1_Shree,13.648367,198.160462
MG_Aalap2_Bag,13.729345,192.725687
MG_Aalap2_Bahar,12.574191,192.66638
MG_Aalap2_Bilas,15.473569,196.650353
MG_Aalap2_Jaun,12.147199,194.022387
MG_Aalap2_Kedar,12.457018,191.444701
MG_Aalap2_MM,14.314596,191.848493
MG_Aalap2_Marwa,11.88074,189.026667
MG_Aalap2_Nand,13.13721,197.058151
MG_Aalap2_Shree,12.658986,188.992166
MG_Pakad_Bag,12.77505,43.44336
MG_Pakad_Bahar,13.123914,34.04945
MG_Pakad_Bilas,12.67489,43.680891
MG_Pakad_Jaun,12.946845,40.684597
MG_Pakad_Kedar,13.355173,39.273568
MG_Pakad_MM,11.861513,41.048022
MG_Pakad_Marwa,10.490084,37.384874
MG_Pakad_Nand,14.434963,52.59138
MG_Pakad_Shree,10.926238,43.987181
