Filename,Start,End
MP_Aalap1_Bag,16.781052,192.234429
MP_Aalap1_Bahar,16.904695,190.382969
MP_Aalap1_Bilas,19.314957,196.755026
MP_Aalap1_Jaun,25.565421,185.550288
MP_Aalap1_Kedar,16.879543,192.45989
MP_Aalap1_MM,17.20492,209.595352
MP_Aalap1_Marwa,17.680224,198.773782
MP_Aalap1_Nand,16.693836,211.883307
MP_Aalap1_Shree,18.165854,204.057219
MP_Aalap2_Bag,19.570822,215.838212
MP_Aalap2_Bahar,11.764061,174.349423
MP_Aalap2_Bilas,20.561067,192.802138
MP_Aalap2_Jaun,20.773701,195.070122
MP_Aalap2_Kedar,16.778972,191.477678
MP_Aalap2_MM,16.479085,187.247637
MP_Aalap2_Marwa,18.343405,200.912202
MP_Aalap2_Nand,15.854002,182.085562
MP_Aalap2_Shree,16.955877,205.255355
MP_Pakad_Bag,12.508293,56.260928
MP_Pakad_Bahar,11.088407,52.33728
MP_Pakad_Bilas,15.214794,54.976124
MP_Pakad_Jaun,14.29744,48.999964
MP_Pakad_Kedar,16.103983,53.267019
MP_Pakad_MM,16.873412,59.213176
MP_Pakad_Marwa,15.347092,51.609277
MP_Pakad_Nand,13.81878,55.637411
MP_Pakad_Shree,13.232835,57.64303
