Filename,Start,End
NM_Aalap1_Bag,13.60217,192.089183
NM_Aalap1_Bahar,11.952798,165.444217
NM_Aalap1_Bilas,13.620346,197.324769
NM_Aalap1_Jaun,11.234958,173.317956
NM_Aalap1_Kedar,12.587851,177.99528
NM_Aalap1_MM,13.307481,184.245248
NM_Aalap1_Marwa,13.474636,182.95027
NM_Aalap1_Nand,12.298487,190.380572
NM_Aalap1_Shree,12.213711,175.475468
NM_Aalap2_Bag,11.684034,175.260504
NM_Aalap2_Bahar,11.821176,182.046104
NM_Aalap2_Bilas,14.070966,191.633156
NM_Aalap2_Jaun,12.408346,185.722326
NM_Aalap2_Kedar,14.959004,179.040578
NM_Aalap2_MM,14.083522,192.335906
NM_Aalap2_Marwa,14.057951,177.676876
NM_Aalap2_Nand,13.283173,187.503332
NM_Aalap2_Shree,15.368463,171.713017
NM_Pakad_Bag,12.721534,38.737644
NM_Pakad_Bahar,12.473014,32.909569
NM_Pakad_Bilas,11.875585,33.916146
NM_Pakad_Jaun,13.690143,45.777764
NM_Pakad_Kedar,13.62302,32.893853
NM_Pakad_MM,12.200341,37.689669
NM_Pakad_Marwa,11.240035,38.425235
NM_Pakad_Nand,13.760129,43.120648
NM_Pakad_Shree,11.460639,35.674215
