Filename,Start,End
RV_Aalap1_Bag,18.850831,199.230804
RV_Aalap1_Bahar,15.561681,202.993479
RV_Aalap1_Bilas,15.861782,198.977241
RV_Aalap1_Jaun,13.316571,202.533737
RV_Aalap1_Kedar,14.499156,203.335462
RV_Aalap1_MM,29.299198,223.478198
RV_Aalap1_Marwa,15.869561,200.784444
RV_Aalap1_Nand,17.708101,200.574924
RV_Aalap1_Shree,17.771473,202.524415
RV_Aalap2_Bag,14.948268,184.307213
RV_Aalap2_Bahar,15.501984,202.387016
RV_Aalap2_Bilas,17.225412,189.151431
RV_Aalap2_Jaun,16.55223,204.322146
RV_Aalap2_Kedar,15.96809,192.625591
RV_Aalap2_MM,16.898583,203.13505
RV_Aalap2_Marwa,17.249523,200.266958
RV_Aalap2_Nand,14.678858,198.596316
RV_Aalap2_Shree,15.059684,197.487225
RV_Pakad_Bag,13.728807,34.322017
RV_Pakad_Bahar,14.520149,47.516257
RV_Pakad_Bilas,14.885321,47.121629
RV_Pakad_Jaun,13.418309,50.064174
RV_Pakad_Kedar,13.816467,40.778314
RV_Pakad_MM,15.583477,47.377953
RV_Pakad_Marwa,17.655777,51.292664
RV_Pakad_Nand,14.998575,42.784138
RV_Pakad_Shree,13.642129,46.830521
