Filename,Start,End
SM_Aalap1_Bag,14.821468,196.7213
SM_Aalap1_Bahar,15.273466,189.358131
SM_Aalap1_Bilas,15.907282,191.384484
SM_Aalap1_Jaun,15.432784,196.216829
SM_Aalap1_Kedar,16.673884,185.794702
SM_Aalap1_MM,17.440271,184.70832
SM_Aalap1_Marwa,15.203954,199.970649
SM_Aalap1_Nand,15.016335,192.709634
SM_Aalap1_Shree,16.390742,204.34979
SM_Aalap2_Bag,14.354876,187.419846
SM_Aalap2_Bahar,16.056794,186.163429
SM_Aalap2_Bilas,16.221293,200.522797
SM_Aalap2_Jaun,14.120768,191.287144
SM_Aalap2_Kedar,17.430947,196.478924
SM_Aalap2_MM,16.63333,192.207368
SM_Aalap2_Marwa,16.839529,200.527866
SM_Aalap2_Nand,15.499402,187.607346
SM_Aalap2_Shree,15.791686,201.300616
SM_Pakad_Bag,12.590755,57.230705
SM_Pakad_Bahar,13.232225,45.032251
SM_Pakad_Bilas,16.448319,56.940519
SM_Pakad_Jaun,14.823749,52.641433
SM_Pakad_Kedar,15.517849,56.777681
SM_Pakad_MM,16.233865,58.016106
SM_Pakad_Marwa,16.133166,69.106818
SM_Pakad_Nand,14.125751,63.507509
SM_Pakad_Shree,15.047387,65.10776
