Filename,Start,End
SS_Aalap1_Bag,14.814872,200.882603
SS_Aalap1_Bahar,15.23738,195.377066
SS_Aalap1_Bilas,14.765337,192.967678
SS_Aalap1_Jaun,12.501977,97.14374
SS_Aalap1_Kedar,13.079216,198.056695
SS_Aalap1_MM,14.093445,179.769725
SS_Aalap1_Marwa,11.978775,209.360381
SS_Aalap1_Nand,12.279108,190.989916
SS_Aalap1_Shree,14.861983,203.89916
SS_Aalap2_Bag,11.429647,205.91507
SS_Aalap2_Bahar,12.419764,203.861553
SS_Aalap2_Bilas,13.175896,203.158073
SS_Aalap2_Jaun,15.25943,206.630633
SS_Aalap2_Kedar,13.752471,200.821333
SS_Aalap2_MM,13.997535,196.665367
SS_Aalap2_Marwa,10.209561,198.734377
SS_Aalap2_Nand,11.889801,196.095557
SS_Aalap2_Shree,13.157647,200.697981
SS_Pakad_Bag,12.467309,49.917745
SS_Pakad_Bahar,13.311412,45.232953
SS_Pakad_Bilas,13.136461,48.585588
SS_Pakad_Jaun,10.897996,48.995949
SS_Pakad_Kedar,12.035227,44.144134
SS_Pakad_MM,11.392717,57.852773
SS_Pakad_Marwa,11.745883,64.896004
SS_Pakad_Nand,10.36945,56.091739
SS_Pakad_Shree,11.149303,50.505828
