time,Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,RBigToe_x,RSmallToe_x
0.000,-0.612,-1.002,-0.655,0.310,-0.689,0.256,-1.215,-0.418,-1.408,1.332,-0.491,-0.224,0.054,0.265,1.989,1.094,-0.894,1.165,-1.544,1.405,0.274,,,,-1.157,0.734,0.156,,,,-0.811,-0.748,-0.865,-1.051,-0.795,0.374,-0.775,-0.991,,
0.010,-1.005,-0.973,-0.908,0.646,-0.931,0.564,-1.309,-0.070,-1.430,1.407,-0.698,-0.691,-0.163,0.159,2.245,1.450,-0.901,1.171,-1.609,1.469,-0.251,,,,-1.155,0.706,0.179,,,,-1.231,-0.598,-1.257,-1.103,-1.171,0.707,-1.138,-1.262,,
0.020,-1.091,-0.967,-0.956,0.725,-0.977,0.622,-1.330,0.019,-1.434,1.422,-0.738,-0.777,-0.170,0.160,2.294,1.565,-1.017,1.136,-1.667,1.440,-0.197,,,,-1.198,0.741,0.142,,,,-1.311,-0.569,-1.328,-1.091,-1.240,0.778,-1.207,-1.315,,
0.030,-0.950,-0.979,-0.853,0.610,-0.878,0.496,-1.298,-0.086,-1.424,1.393,-0.656,-0.583,-0.024,0.242,2.190,1.500,-1.204,1.073,-1.718,1.346,0.270,,,,-1.272,0.821,0.065,,,,-1.139,-0.630,-1.162,-1.034,-1.082,0.652,-1.059,-1.205,,
0.040,-0.714,-0.997,-0.688,0.410,-0.719,0.295,-1.243,-0.271,-1.408,1.347,-0.524,-0.275,0.185,0.356,2.022,1.357,-1.407,1.004,-1.763,1.227,0.889,,,,-1.357,0.916,-0.022,,,,-0.864,-0.727,-0.899,-0.961,-0.832,0.444,-0.822,-1.029,,
0.050,-0.516,-1.013,-0.549,0.234,-0.585,0.125,-1.196,-0.426,-1.395,1.307,-0.414,-0.017,0.363,0.451,1.880,1.239,-1.578,0.949,-1.802,1.129,1.410,,,,-1.435,0.999,-0.093,,,,-0.633,-0.809,-0.678,-0.899,-0.622,0.266,-0.622,-0.880,,
0.060,-0.440,-1.019,-0.493,0.155,-0.530,0.056,-1.176,-0.479,-1.390,1.291,-0.370,0.088,0.449,0.491,1.821,1.210,-1.687,0.921,-1.839,1.076,1.680,,,,-1.492,1.053,-0.132,,,,-0.538,-0.843,-0.588,-0.866,-0.536,0.193,-0.540,-0.819,,
0.070,-0.499,-1.015,-0.527,0.184,-0.563,0.097,-1.186,-0.420,-1.393,1.300,-0.399,0.026,0.435,0.470,1.854,1.278,-1.731,0.920,-1.875,1.075,1.686,,,,-1.527,1.076,-0.137,,,,-0.594,-0.822,-0.642,-0.866,-0.587,0.235,-0.588,-0.856,,
0.080,-0.643,-1.005,-0.618,0.283,-0.650,0.207,-1.215,-0.291,-1.402,1.325,-0.473,-0.140,0.355,0.406,1.947,1.407,-1.732,0.938,-1.907,1.108,1.526,,,,-1.545,1.079,-0.121,,,,-0.745,-0.768,-0.788,-0.886,-0.725,0.350,-0.719,-0.954,,
0.090,-0.792,-0.994,-0.713,0.385,-0.742,0.322,-1.245,-0.160,-1.411,1.351,-0.549,-0.312,0.267,0.333,2.044,1.534,-1.719,0.961,-1.935,1.148,1.350,,,,-1.559,1.077,-0.101,,,,-0.903,-0.712,-0.940,-0.910,-0.868,0.469,-0.856,-1.056,,
0.100,-0.878,-0.988,-0.766,0.432,-0.793,0.386,-1.261,-0.085,-1.417,1.365,-0.591,-0.408,0.220,0.283,2.098,1.609,-1.717,0.977,-1.956,1.170,1.283,,,,-1.577,1.084,-0.090,,,,-0.992,-0.680,-1.026,-0.922,-0.949,0.534,-0.933,-1.114,,
0.110,-0.869,-0.989,-0.758,0.399,-0.786,0.375,-1.255,-0.088,-1.417,1.361,-0.584,-0.392,0.235,0.272,2.089,1.610,-1.738,0.982,-1.970,1.164,1.371,,,,-1.603,1.104,-0.093,,,,-0.978,-0.685,-1.015,-0.917,-0.938,0.519,-0.921,-1.105,,
0.120,-0.787,-0.995,-0.702,0.302,-0.731,0.306,-1.233,-0.154,-1.413,1.342,-0.538,-0.289,0.301,0.293,2.029,1.553,-1.775,0.977,-1.977,1.134,1.577,,,,-1.635,1.135,-0.106,,,,-0.883,-0.719,-0.928,-0.898,-0.854,0.441,-0.838,-1.044,,
0.130,-0.682,-1.003,-0.631,0.185,-0.663,0.221,-1.207,-0.239,-1.407,1.320,-0.482,-0.161,0.380,0.325,1.955,1.477,-1.809,0.970,-1.979,1.099,1.809,,,,-1.664,1.165,-0.121,,,,-0.765,-0.760,-0.818,-0.877,-0.748,0.345,-0.736,-0.967,,
0.140,-0.611,-1.009,-0.583,0.096,-0.616,0.163,-1.188,-0.297,-1.404,1.305,-0.443,-0.075,0.432,0.341,1.904,1.424,-1.822,0.971,-1.977,1.077,1.974,,,,-1.683,1.185,-0.127,,,,-0.684,-0.789,-0.745,-0.864,-0.677,0.278,-0.667,-0.915,,
0.150,-0.606,-1.009,-0.579,0.064,-0.612,0.158,-1.185,-0.303,-1.404,1.301,-0.438,-0.069,0.434,0.325,1.899,1.416,-1.805,0.981,-1.972,1.079,2.022,,,,-1.687,1.188,-0.120,,,,-0.678,-0.791,-0.740,-0.866,-0.671,0.269,-0.661,-0.910,,
0.160,-0.662,-1.005,-0.616,0.088,-0.649,0.203,-1.197,-0.259,-1.409,1.309,-0.463,-0.135,0.387,0.278,1.937,1.450,-1.759,1.002,-1.964,1.104,1.966,,,,-1.677,1.174,-0.101,,,,-0.739,-0.769,-0.801,-0.883,-0.728,0.314,-0.714,-0.950,,
0.170,-0.745,-0.999,-0.672,0.139,-0.703,0.269,-1.214,-0.196,-1.416,1.322,-0.502,-0.234,0.316,0.214,1.995,1.501,-1.698,1.025,-1.951,1.138,1.866,,,,-1.656,1.151,-0.078,,,,-0.831,-0.736,-0.890,-0.906,-0.811,0.383,-0.794,-1.010,,
0.180,-0.809,-0.994,-0.715,0.177,-0.746,0.321,-1.229,-0.150,-1.421,1.332,-0.530,-0.312,0.256,0.159,2.041,1.536,-1.637,1.044,-1.934,1.166,1.797,,,,-1.633,1.126,-0.057,,,,-0.905,-0.710,-0.961,-0.927,-0.876,0.438,-0.857,-1.057,,
0.190,-0.824,-0.993,-0.727,0.174,-0.757,0.335,-1.234,-0.145,-1.424,1.333,-0.533,-0.332,0.231,0.130,2.053,1.534,-1.588,1.055,-1.911,1.176,1.805,,,,-1.611,1.108,-0.045,,,,-0.923,-0.704,-0.980,-0.938,-0.893,0.451,-0.874,-1.069,,
0.200,-0.785,-0.996,-0.703,0.123,-0.734,0.306,-1.228,-0.184,-1.423,1.323,-0.509,-0.290,0.246,0.132,2.028,1.491,-1.553,1.057,-1.885,1.167,1.894,,,,-1.592,1.097,-0.041,,,,-0.884,-0.718,-0.942,-0.939,-0.855,0.419,-0.839,-1.043,,
0.210,-0.715,-1.001,-0.659,0.043,-0.691,0.255,-1.217,-0.249,-1.420,1.307,-0.471,-0.213,0.283,0.155,1.982,1.427,-1.527,1.055,-1.856,1.147,2.024,,,,-1.574,1.091,-0.042,,,,-0.810,-0.744,-0.872,-0.933,-0.788,0.362,-0.775,-0.995,,
0.220,-0.651,-1.006,-0.619,-0.032,-0.653,0.208,-1.208,-0.310,-1.418,1.293,-0.437,-0.144,0.316,0.177,1.939,1.366,-1.496,1.053,-1.825,1.128,2.141,,,,-1.550,1.083,-0.042,,,,-0.744,-0.768,-0.807,-0.930,-0.726,0.310,-0.718,-0.951,,
0.230,-0.622,-1.008,-0.603,-0.072,-0.637,0.191,-1.208,-0.343,-1.418,1.285,-0.420,-0.118,0.321,0.182,1.923,1.330,-1.452,1.054,-1.793,1.121,2.203,,,,-1.517,1.064,-0.036,,,,-0.717,-0.777,-0.779,-0.934,-0.699,0.291,-0.695,-0.933,,
0.240,-0.640,-1.006,-0.617,-0.063,-0.651,0.208,-1.219,-0.342,-1.421,1.286,-0.423,-0.144,0.289,0.161,1.939,1.323,-1.391,1.057,-1.757,1.129,2.202,,,,-1.472,1.031,-0.025,,,,-0.741,-0.769,-0.800,-0.948,-0.718,0.312,-0.716,-0.949,,
0.250,-0.688,-1.003,-0.652,-0.013,-0.686,0.249,-1.237,-0.319,-1.425,1.292,-0.437,-0.204,0.229,0.119,1.977,1.335,-1.315,1.057,-1.714,1.143,2.162,,,,-1.417,0.982,-0.012,,,,-0.799,-0.749,-0.853,-0.969,-0.767,0.361,-0.766,-0.986,,
0.260,-0.737,-0.999,-0.688,0.053,-0.722,0.290,-1.256,-0.296,-1.430,1.298,-0.447,-0.267,0.164,0.075,2.017,1.343,-1.233,1.051,-1.663,1.154,2.126,,,,-1.355,0.920,-0.003,,,,-0.860,-0.727,-0.908,-0.990,-0.817,0.412,-0.818,-1.025,,
0.270,-0.758,-0.997,-0.706,0.106,-0.740,0.309,-1.271,-0.295,-1.433,1.299,-0.439,-0.298,0.115,0.047,2.039,1.330,-1.154,1.034,-1.602,1.150,2.125,,,,-1.292,0.852,-0.001,,,,-0.891,-0.717,-0.934,-1.005,-0.841,0.442,-0.845,-1.045,,
0.280,-0.739,-0.998,-0.698,0.129,-0.733,0.297,-1.278,-0.324,-1.434,1.292,-0.411,-0.285,0.097,0.048,2.032,1.290,-1.081,1.006,-1.535,1.129,2.167,,,,-1.230,0.785,-0.007,,,,-0.878,-0.721,-0.919,-1.011,-0.825,0.438,-0.835,-1.036,,
0.290,-0.687,-1.002,-0.670,0.119,-0.706,0.263,-1.280,-0.376,-1.433,1.280,-0.370,-0.238,0.106,0.076,2.003,1.230,-1.017,0.975,-1.467,1.094,2.235,,,,-1.170,0.724,-0.017,,,,-0.832,-0.738,-0.871,-1.010,-0.778,0.408,-0.794,-1.005,,
