RElbow_x,RElbow_y,RWrist_x,RWrist_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,time
-1.215,-0.418,-1.408,1.332,0.054,0.265,1.989,1.094,0.000
-1.309,-0.070,-1.430,1.407,-0.163,0.159,2.245,1.450,0.010
-1.330,0.019,-1.434,1.422,-0.170,0.160,2.294,1.565,0.020
-1.298,-0.086,-1.424,1.393,-0.024,0.242,2.190,1.500,0.030
-1.243,-0.271,-1.408,1.347,0.185,0.356,2.022,1.357,0.040
-1.196,-0.426,-1.395,1.307,0.363,0.451,1.880,1.239,0.050
-1.176,-0.479,-1.390,1.291,0.449,0.491,1.821,1.210,0.060
-1.186,-0.420,-1.393,1.300,0.435,0.470,1.854,1.278,0.070
-1.215,-0.291,-1.402,1.325,0.355,0.406,1.947,1.407,0.080
-1.245,-0.160,-1.411,1.351,0.267,0.333,2.044,1.534,0.090
-1.261,-0.085,-1.417,1.365,0.220,0.283,2.098,1.609,0.100
-1.255,-0.088,-1.417,1.361,0.235,0.272,2.089,1.610,0.110
-1.233,-0.154,-1.413,1.342,0.301,0.293,2.029,1.553,0.120
-1.207,-0.239,-1.407,1.320,0.380,0.325,1.955,1.477,0.130
-1.188,-0.297,-1.404,1.305,0.432,0.341,1.904,1.424,0.140
-1.185,-0.303,-1.404,1.301,0.434,0.325,1.899,1.416,0.150
-1.197,-0.259,-1.409,1.309,0.387,0.278,1.937,1.450,0.160
-1.214,-0.196,-1.416,1.322,0.316,0.214,1.995,1.501,0.170
-1.229,-0.150,-1.421,1.332,0.256,0.159,2.041,1.536,0.180
-1.234,-0.145,-1.424,1.333,0.231,0.130,2.053,1.534,0.190
-1.228,-0.184,-1.423,1.323,0.246,0.132,2.028,1.491,0.200
-1.217,-0.249,-1.420,1.307,0.283,0.155,1.982,1.427,0.210
-1.208,-0.310,-1.418,1.293,0.316,0.177,1.939,1.366,0.220
-1.208,-0.343,-1.418,1.285,0.321,0.182,1.923,1.330,0.230
-1.219,-0.342,-1.421,1.286,0.289,0.161,1.939,1.323,0.240
-1.237,-0.319,-1.425,1.292,0.229,0.119,1.977,1.335,0.250
-1.256,-0.296,-1.430,1.298,0.164,0.075,2.017,1.343,0.260
-1.271,-0.295,-1.433,1.299,0.115,0.047,2.039,1.330,0.270
-1.278,-0.324,-1.434,1.292,0.097,0.048,2.032,1.290,0.280
-1.280,-0.376,-1.433,1.280,0.106,0.076,2.003,1.230,0.290
-1.283,-0.431,-1.431,1.265,0.128,0.119,1.969,1.169,0.300
-1.292,-0.471,-1.431,1.254,0.144,0.156,1.948,1.125,0.310
-1.309,-0.488,-1.432,1.248,0.141,0.174,1.951,1.109,0.320
-1.333,-0.487,-1.435,1.246,0.116,0.167,1.975,1.115,0.330
-1.360,-0.484,-1.438,1.246,0.082,0.143,2.009,1.129,0.340
-1.383,-0.496,-1.441,1.242,0.055,0.117,2.034,1.134,0.350
-1.401,-0.534,-1.441,1.232,0.048,0.104,2.038,1.120,0.360
-1.414,-0.593,-1.440,1.215,0.066,0.111,2.021,1.089,0.370
-1.426,-0.658,-1.437,1.196,0.102,0.136,1.992,1.053,0.380
-1.441,-0.710,-1.436,1.177,0.144,0.170,1.968,1.026,0.390
-1.463,-0.737,-1.436,1.163,0.180,0.202,1.960,1.020,0.400
-1.492,-0.738,-1.438,1.155,0.204,0.226,1.971,1.036,0.410
-1.523,-0.725,-1.441,1.149,0.221,0.244,1.995,1.063,0.420
-1.552,-0.713,-1.445,1.144,0.238,0.263,2.017,1.087,0.430
-1.575,-0.717,-1.447,1.135,0.264,0.293,2.026,1.094,0.440
-1.590,-0.740,-1.447,1.121,0.302,0.338,2.016,1.082,0.450
-1.598,-0.778,-1.445,1.103,0.347,0.395,1.993,1.055,0.460
-1.603,-0.816,-1.443,1.083,0.390,0.452,1.967,1.026,0.470
-1.609,-0.845,-1.441,1.065,0.421,0.497,1.953,1.007,0.480
-1.617,-0.862,-1.439,1.049,0.434,0.519,1.956,1.005,0.490
-1.626,-0.871,-1.439,1.035,0.433,0.517,1.972,1.018,0.500
-1.632,-0.884,-1.440,1.023,0.426,0.500,1.993,1.036,0.510
-1.633,-0.913,-1.440,1.010,0.425,0.479,2.005,1.051,0.520
-1.628,-0.962,-1.439,0.996,0.435,0.466,2.002,1.058,0.530
-1.618,-1.025,-1.437,0.980,0.457,0.469,1.985,1.058,0.540
-1.607,-1.090,-1.434,0.964,0.485,0.486,1.963,1.061,0.550
-1.597,-1.145,-1.431,0.952,0.509,0.509,1.947,1.075,0.560
-1.590,-1.181,-1.429,0.945,0.522,0.528,1.944,1.107,0.570
-1.585,-1.200,-1.428,0.942,0.523,0.537,1.957,1.155,0.580
-1.579,-1.213,-1.427,0.942,0.517,0.535,1.977,1.211,0.590
-1.568,-1.229,-1.426,0.943,0.510,0.527,1.994,1.267,0.600
-1.551,-1.257,-1.424,0.944,0.508,0.520,1.999,1.313,0.610
-1.528,-1.294,-1.422,0.944,0.512,0.516,1.990,1.346,0.620
-1.503,-1.333,-1.418,0.946,0.519,0.516,1.972,1.369,0.630
-1.481,-1.361,-1.415,0.952,0.521,0.514,1.956,1.388,0.640
-1.465,-1.370,-1.413,0.963,0.514,0.504,1.949,1.405,0.650
-1.457,-1.359,-1.412,0.979,0.497,0.483,1.957,1.422,0.660
-1.455,-1.334,-1.411,0.999,0.473,0.452,1.975,1.435,0.670
-1.457,-1.306,-1.410,1.020,0.450,0.417,1.994,1.438,0.680
-1.457,-1.285,-1.410,1.040,0.435,0.387,2.005,1.428,0.690
-1.454,-1.273,-1.408,1.058,0.428,0.368,2.002,1.409,0.700
-1.447,-1.266,-1.406,1.073,0.427,0.360,1.989,1.387,0.710
-1.437,-1.255,-1.405,1.089,0.423,0.360,1.972,1.374,0.720
-1.427,-1.231,-1.403,1.105,0.411,0.359,1.962,1.375,0.730
-1.420,-1.190,-1.403,1.124,0.387,0.350,1.964,1.391,0.740
-1.416,-1.134,-1.404,1.145,0.354,0.330,1.978,1.416,0.750
-1.414,-1.073,-1.405,1.166,0.319,0.301,1.996,1.438,0.760
-1.413,-1.013,-1.405,1.185,0.290,0.271,2.009,1.447,0.770
-1.412,-0.959,-1.405,1.201,0.270,0.247,2.010,1.439,0.780
-1.410,-0.911,-1.405,1.215,0.258,0.234,1.998,1.414,0.790
-1.408,-0.861,-1.404,1.226,0.248,0.232,1.981,1.382,0.800
-1.407,-0.806,-1.404,1.237,0.233,0.236,1.966,1.354,0.810
-1.405,-0.742,-1.405,1.249,0.207,0.242,1.962,1.336,0.820
-1.401,-0.677,-1.406,1.262,0.171,0.245,1.971,1.330,0.830
-1.393,-0.618,-1.408,1.276,0.129,0.246,1.987,1.331,0.840
-1.378,-0.577,-1.410,1.288,0.091,0.247,2.002,1.333,0.850
-1.355,-0.559,-1.411,1.297,0.064,0.255,2.007,1.328,0.860
-1.326,-0.560,-1.411,1.302,0.052,0.273,2.000,1.317,0.870
-1.295,-0.572,-1.411,1.305,0.052,0.302,1.983,1.304,0.880
-1.267,-0.583,-1.410,1.306,0.057,0.340,1.966,1.297,0.890
-1.244,-0.582,-1.410,1.307,0.061,0.381,1.957,1.303,0.900
-1.227,-0.569,-1.411,1.309,0.060,0.422,1.960,1.323,0.910
-1.215,-0.548,-1.411,1.310,0.054,0.459,1.974,1.353,0.920
-1.205,-0.530,-1.411,1.311,0.049,0.494,1.992,1.385,0.930
-1.193,-0.524,-1.411,1.309,0.052,0.529,2.003,1.411,0.940
-1.177,-0.533,-1.409,1.306,0.067,0.567,2.002,1.427,0.950
-1.159,-0.552,-1.406,1.301,0.094,0.606,1.990,1.434,0.960
-1.140,-0.571,-1.403,1.296,0.131,0.644,1.973,1.437,0.970
-1.124,-0.582,-1.399,1.293,0.171,0.677,1.960,1.444,0.980
-1.113,-0.579,-1.396,1.293,0.208,0.702,1.958,1.459,0.990
-1.108,-0.564,-1.393,1.295,0.241,0.716,1.969,1.481,1.000
-1.106,-0.547,-1.391,1.299,0.270,0.722,1.985,1.504,1.010
-1.105,-0.536,-1.388,1.303,0.298,0.724,1.999,1.519,1.020
-1.103,-0.538,-1.385,1.305,0.327,0.725,2.002,1.522,1.030
-1.099,-0.553,-1.380,1.306,0.358,0.725,1.992,1.512,1.040
-1.094,-0.575,-1.376,1.305,0.387,0.724,1.975,1.493,1.050
-1.088,-0.592,-1.371,1.305,0.411,0.717,1.959,1.475,1.060
-1.084,-0.599,-1.366,1.305,0.427,0.701,1.952,1.466,1.070
-1.081,-0.593,-1.362,1.307,0.432,0.674,1.958,1.472,1.080
-1.077,-0.579,-1.359,1.309,0.431,0.639,1.974,1.492,1.090
-1.070,-0.566,-1.355,1.310,0.425,0.600,1.992,1.520,1.100
-1.059,-0.562,-1.351,1.309,0.420,0.561,2.001,1.551,1.110
-1.044,-0.570,-1.347,1.306,0.416,0.525,1.998,1.577,1.120
-1.028,-0.586,-1.342,1.301,0.413,0.493,1.983,1.596,1.130
-1.014,-0.603,-1.338,1.296,0.409,0.460,1.965,1.606,1.140
-1.005,-0.613,-1.336,1.293,0.400,0.424,1.953,1.610,1.150
-1.005,-0.611,-1.334,1.293,0.385,0.383,1.953,1.610,1.160
-1.010,-0.600,-1.334,1.294,0.366,0.337,1.965,1.604,1.170
-1.020,-0.585,-1.335,1.297,0.346,0.291,1.982,1.594,1.180
-1.031,-0.574,-1.336,1.300,0.327,0.253,1.994,1.576,1.190
-1.040,-0.572,-1.338,1.302,0.312,0.226,1.994,1.554,1.200
-1.046,-0.580,-1.340,1.303,0.300,0.213,1.981,1.529,1.210
-1.052,-0.593,-1.342,1.303,0.290,0.214,1.961,1.506,1.220
-1.059,-0.605,-1.345,1.304,0.279,0.225,1.943,1.490,1.230
-1.070,-0.613,-1.349,1.306,0.269,0.243,1.938,1.482,1.240
-1.086,-0.615,-1.354,1.308,0.263,0.263,1.947,1.482,1.250
-1.106,-0.617,-1.359,1.309,0.263,0.284,1.965,1.484,1.260
-1.129,-0.624,-1.365,1.309,0.273,0.306,1.982,1.483,1.270
-1.153,-0.638,-1.370,1.306,0.292,0.325,1.989,1.477,1.280
-1.178,-0.659,-1.374,1.302,0.315,0.339,1.979,1.464,1.290
-1.204,-0.681,-1.378,1.296,0.337,0.343,1.959,1.448,1.300
-1.232,-0.699,-1.380,1.290,0.351,0.336,1.937,1.433,1.310
-1.263,-0.706,-1.383,1.286,0.357,0.318,1.925,1.424,1.320
-1.297,-0.704,-1.386,1.284,0.358,0.295,1.930,1.423,1.330
-1.331,-0.700,-1.390,1.284,0.361,0.276,1.950,1.428,1.340
-1.361,-0.699,-1.393,1.284,0.374,0.270,1.974,1.435,1.350
-1.386,-0.709,-1.396,1.283,0.401,0.283,1.991,1.441,1.360
-1.403,-0.731,-1.399,1.281,0.439,0.313,1.990,1.443,1.370
-1.413,-0.758,-1.401,1.278,0.482,0.353,1.971,1.442,1.380
-1.419,-0.782,-1.403,1.274,0.518,0.390,1.945,1.440,1.390
-1.424,-0.794,-1.405,1.271,0.537,0.411,1.924,1.439,1.400
-1.432,-0.791,-1.407,1.269,0.535,0.409,1.921,1.443,1.410
-1.442,-0.777,-1.409,1.268,0.515,0.384,1.939,1.450,1.420
-1.454,-0.760,-1.411,1.267,0.484,0.345,1.969,1.461,1.430
-1.465,-0.751,-1.412,1.264,0.455,0.303,1.996,1.473,1.440
-1.471,-0.757,-1.414,1.258,0.436,0.271,2.005,1.486,1.450
-1.471,-0.778,-1.414,1.249,0.432,0.252,1.990,1.501,1.460
-1.465,-0.806,-1.415,1.238,0.440,0.244,1.957,1.521,1.470
-1.457,-0.832,-1.415,1.227,0.456,0.240,1.923,1.545,1.480
-1.448,-0.845,-1.416,1.218,0.473,0.231,1.906,1.572,1.490
-1.443,-0.842,-1.417,1.212,0.490,0.212,1.919,1.597,1.500
-1.440,-0.827,-1.418,1.209,0.508,0.186,1.961,1.615,1.510
-1.441,-0.808,-1.420,1.207,0.531,0.160,2.017,1.619,1.520
-1.442,-0.792,-1.422,1.207,0.565,0.145,2.065,1.611,1.530
