Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,LBigToe_x,LBigToe_y,LSmallToe_x,LSmallToe_y,LHeel_x,LHeel_y,RBigToe_x,RBigToe_y,RSmallToe_x,RSmallToe_y,RHeel_x,RHeel_y,frame_number,time
995.864,271.419,1001.203,436.960,833.462,462.620,798.260,692.642,768.607,888.164,1169.909,412.479,1286.393,624.301,1330.910,856.528,1043.504,817.555,923.753,835.943,744.702,,,,1145.189,795.377,1367.911,,,,951.131,244.863,1021.697,233.272,904.073,271.152,1071.865,247.764,,,,,,,,,,,,,0,0.000
994.605,271.443,1001.187,437.154,833.470,462.618,798.014,694.182,768.875,888.623,1169.820,412.501,1287.725,624.728,1330.911,858.319,1038.051,815.394,920.205,833.365,746.515,,,,1143.422,797.955,1355.498,,,,951.122,244.889,1022.078,235.273,904.330,271.430,1071.848,247.720,,,,,,,,,,,,,1,0.042
993.792,271.456,1001.168,437.014,833.464,462.612,798.072,695.161,768.809,888.469,1169.745,412.511,1288.455,624.722,1330.907,859.317,1035.261,814.846,917.893,832.326,747.617,,,,1141.978,799.810,1350.720,,,,951.116,244.911,1022.009,236.242,904.302,271.398,1071.838,247.697,,,,,,,,,,,,,2,0.084
993.383,271.458,1001.153,436.712,833.450,462.608,798.229,695.599,768.502,887.928,1169.750,412.513,1288.694,624.481,1330.903,859.676,1034.569,815.161,916.944,832.176,748.276,,,,1141.146,800.781,1350.561,,,,951.112,244.925,1021.764,236.451,904.186,271.242,1071.834,247.690,,,,,,,,,,,,,3,0.126
993.325,271.452,1001.145,436.380,833.435,462.608,798.322,695.530,768.040,887.145,1169.878,412.510,1288.558,624.162,1330.900,859.546,1035.414,815.750,917.330,832.400,748.699,,,,1141.077,800.819,1352.648,,,,951.113,244.931,1021.550,236.143,904.127,271.099,1071.835,247.696,,,,,,,,,,,,,4,0.168
993.549,271.438,1001.146,436.113,833.422,462.617,798.233,695.004,767.498,886.175,1170.145,412.504,1288.172,623.881,1330.900,859.069,1037.235,816.188,918.868,832.621,749.031,,,,1141.788,799.982,1355.249,,,,951.118,244.927,1021.514,235.525,904.212,271.050,1071.839,247.711,,,,,,,,,,,,,5,0.210
993.977,271.418,1001.156,435.967,833.413,462.632,797.891,694.087,766.944,884.989,1170.540,412.499,1287.666,623.717,1330.904,858.377,1039.476,816.212,921.219,832.598,749.359,,,,1143.160,798.439,1357.278,,,,951.126,244.913,1021.732,234.774,904.475,271.121,1071.847,247.732,,,,,,,,,,,,,6,0.252
994.724,271.393,1001.179,436.322,833.408,462.536,797.327,692.936,766.373,883.432,1171.583,412.500,1286.858,623.645,1330.911,857.379,1042.504,815.049,925.334,831.752,749.622,,,,1145.265,795.000,1356.613,,,,951.142,244.893,1022.082,234.092,904.911,271.338,1071.857,247.765,,,,,,,,,,,,,7,0.294
995.645,271.371,1001.203,436.203,833.412,462.786,796.373,691.730,765.961,881.141,1171.608,412.498,1286.725,623.883,1330.917,856.751,1044.229,814.454,927.443,831.142,749.835,,,,1147.208,793.536,1356.832,,,,951.155,244.869,1022.995,233.495,905.535,271.482,1071.866,247.782,,,,,,,,,,,,,8,0.336
995.801,271.358,1001.222,436.200,833.413,462.939,795.318,689.521,765.873,877.402,1171.630,412.497,1286.689,623.785,1330.924,856.274,1042.988,813.195,927.209,830.550,751.039,,,,1147.632,792.372,1358.091,,,,951.161,244.843,1023.914,232.795,905.512,271.346,1071.880,247.800,,,,,,,,,,,,,9,0.378
995.498,271.357,1001.237,436.189,833.411,462.795,793.918,688.385,765.561,873.256,1171.827,412.496,1287.690,624.218,1330.917,856.286,1039.749,812.396,924.754,829.930,750.441,,,,1146.468,792.268,1363.650,,,,951.156,244.825,1024.463,232.507,905.588,270.884,1071.898,247.811,,,,,,,,,,,,,10,0.420
