Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,LBigToe_x,LBigToe_y,LSmallToe_x,LSmallToe_y,LHeel_x,LHeel_y,RBigToe_x,RBigToe_y,RSmallToe_x,RSmallToe_y,RHeel_x,RHeel_y,frame_number,time,Left_hand_0_x,Left_hand_0_y,Left_hand_1_x,Left_hand_1_y,Left_hand_2_x,Left_hand_2_y,Left_hand_3_x,Left_hand_3_y,Left_hand_4_x,Left_hand_4_y,Left_hand_5_x,Left_hand_5_y,Left_hand_6_x,Left_hand_6_y,Left_hand_7_x,Left_hand_7_y,Left_hand_8_x,Left_hand_8_y,Left_hand_9_x,Left_hand_9_y,Left_hand_10_x,Left_hand_10_y,Left_hand_11_x,Left_hand_11_y,Left_hand_12_x,Left_hand_12_y,Left_hand_13_x,Left_hand_13_y,Left_hand_14_x,Left_hand_14_y,Left_hand_15_x,Left_hand_15_y,Left_hand_16_x,Left_hand_16_y,Left_hand_17_x,Left_hand_17_y,Left_hand_18_x,Left_hand_18_y,Left_hand_19_x,Left_hand_19_y,Left_hand_20_x,Left_hand_20_y,Right_hand_0_x,Right_hand_0_y,Right_hand_1_x,Right_hand_1_y,Right_hand_2_x,Right_hand_2_y,Right_hand_3_x,Right_hand_3_y,Right_hand_4_x,Right_hand_4_y,Right_hand_5_x,Right_hand_5_y,Right_hand_6_x,Right_hand_6_y,Right_hand_7_x,Right_hand_7_y,Right_hand_8_x,Right_hand_8_y,Right_hand_9_x,Right_hand_9_y,Right_hand_10_x,Right_hand_10_y,Right_hand_11_x,Right_hand_11_y,Right_hand_12_x,Right_hand_12_y,Right_hand_13_x,Right_hand_13_y,Right_hand_14_x,Right_hand_14_y,Right_hand_15_x,Right_hand_15_y,Right_hand_16_x,Right_hand_16_y,Right_hand_17_x,Right_hand_17_y,Right_hand_18_x,Right_hand_18_y,Right_hand_19_x,Right_hand_19_y,Right_hand_20_x,Right_hand_20_y
995.864,271.419,1001.203,436.960,833.462,462.620,798.260,692.642,768.607,888.164,1169.909,412.479,1286.393,624.301,1330.910,856.528,1043.504,817.555,923.753,835.943,744.702,,,,1145.189,795.377,1367.911,,,,951.131,244.863,1021.697,233.272,904.073,271.152,1071.865,247.764,,,,,,,,,,,,,0,0.000,1334.711,861.657,1311.639,898.315,1298.733,944.212,1302.124,981.528,1309.976,1004.793,1313.359,976.721,1319.864,1013.246,1322.369,1019.799,1328.069,1016.160,1340.709,975.803,1348.228,1014.240,1352.379,1007.593,1351.772,997.239,1362.740,964.373,1371.538,1005.431,1372.384,997.116,1369.094,984.422,1380.138,950.074,1390.799,985.566,1390.864,983.087,1388.598,976.247,765.592,916.666,792.129,938.485,818.703,980.810,819.562,1018.500,811.241,1048.579,784.475,986.403,790.527,1038.075,796.025,1052.546,802.875,1051.805,755.526,991.964,766.663,1044.791,774.620,1053.829,783.071,1051.574,735.873,995.963,745.231,1043.775,754.697,1051.219,762.899,1047.547,721.523,998.127,726.476,1032.633,735.020,1039.882,741.235,1035.632
994.605,271.443,1001.187,437.154,833.470,462.618,798.014,694.182,768.875,888.623,1169.820,412.501,1287.725,624.728,1330.911,858.319,1038.051,815.394,920.205,833.365,746.515,,,,1143.422,797.955,1355.498,,,,951.122,244.889,1022.078,235.273,904.330,271.430,1071.848,247.720,,,,,,,,,,,,,1,0.042,1335.204,859.360,1311.413,897.111,1299.082,942.375,1301.624,980.235,1313.019,1003.643,1313.074,978.071,1318.579,1011.440,1321.947,1020.043,1328.020,1016.421,1340.495,976.869,1348.366,1013.997,1351.683,1009.173,1353.280,998.512,1361.988,964.813,1371.169,1004.530,1372.317,997.420,1369.563,985.665,1380.124,950.089,1390.708,986.274,1390.878,984.937,1388.662,978.555,765.514,917.206,792.882,937.870,818.385,979.257,819.264,1019.150,811.147,1048.914,784.038,989.426,790.007,1038.524,796.210,1053.099,802.395,1052.908,755.454,994.124,766.459,1045.752,774.138,1055.333,782.160,1053.360,735.948,997.078,745.289,1044.548,754.506,1052.161,762.892,1049.161,720.339,999.742,726.405,1033.752,734.353,1039.962,740.566,1034.153
993.792,271.456,1001.168,437.014,833.464,462.612,798.072,695.161,768.809,888.469,1169.745,412.511,1288.455,624.722,1330.907,859.317,1035.261,814.846,917.893,832.326,747.617,,,,1141.978,799.810,1350.720,,,,951.116,244.911,1022.009,236.242,904.302,271.398,1071.838,247.697,,,,,,,,,,,,,2,0.084,1335.615,858.381,1311.268,896.638,1298.771,942.059,1301.172,980.119,1314.682,1003.608,1313.305,978.543,1318.441,1011.299,1321.837,1020.088,1327.656,1015.860,1340.593,977.108,1348.501,1013.757,1351.573,1009.499,1353.566,998.624,1362.026,964.726,1371.034,1004.099,1372.283,997.338,1369.645,985.690,1380.176,949.990,1390.583,986.739,1390.682,985.475,1388.737,979.326,764.987,919.395,793.257,938.434,818.430,978.984,819.231,1019.168,811.384,1048.743,783.996,990.266,789.949,1038.485,796.297,1052.986,802.726,1053.087,755.644,994.760,766.324,1045.716,773.983,1055.948,782.265,1053.471,736.265,997.260,745.357,1044.528,754.737,1052.660,763.110,1049.712,720.577,999.894,726.672,1033.901,734.177,1040.506,740.667,1034.940
993.383,271.458,1001.153,436.712,833.450,462.608,798.229,695.599,768.502,887.928,1169.750,412.513,1288.694,624.481,1330.903,859.676,1034.569,815.161,916.944,832.176,748.276,,,,1141.146,800.781,1350.561,,,,951.112,244.925,1021.764,236.451,904.186,271.242,1071.834,247.690,,,,,,,,,,,,,3,0.126,1335.957,858.293,1311.232,896.602,1298.127,942.577,1300.818,980.553,1315.347,1004.060,1313.713,978.357,1318.751,1011.811,1321.818,1020.011,1327.147,1015.164,1340.773,976.807,1348.440,1013.536,1351.603,1009.157,1353.070,998.123,1362.421,964.325,1370.896,1003.977,1372.141,997.073,1369.372,985.094,1380.266,949.855,1390.427,986.972,1390.335,985.164,1388.662,979.095,764.164,921.922,793.189,939.143,818.496,978.765,819.278,1018.121,811.781,1047.608,784.029,988.749,790.066,1037.121,796.342,1051.632,803.445,1052.057,755.811,993.563,766.190,1044.303,774.005,1055.224,782.868,1052.005,736.524,996.156,745.361,1043.320,755.085,1052.194,763.336,1049.049,721.430,998.688,726.977,1032.973,734.237,1040.695,741.105,1036.486
993.325,271.452,1001.145,436.380,833.435,462.608,798.322,695.530,768.040,887.145,1169.878,412.510,1288.558,624.162,1330.900,859.546,1035.414,815.750,917.330,832.400,748.699,,,,1141.077,800.819,1352.648,,,,951.113,244.931,1021.550,236.143,904.127,271.099,1071.835,247.696,,,,,,,,,,,,,4,0.168,1336.246,858.741,1311.316,896.770,1297.405,943.386,1300.585,981.067,1315.328,1004.531,1314.050,977.720,1318.992,1012.246,1321.729,1019.870,1326.617,1014.811,1340.870,976.207,1348.063,1013.346,1351.455,1008.598,1352.153,997.434,1362.842,963.782,1370.589,1004.035,1371.800,996.781,1368.793,984.334,1380.365,949.743,1390.241,987.002,1389.887,984.393,1388.342,978.307,763.181,923.776,792.660,939.216,818.339,977.695,819.265,1015.736,812.204,1045.216,783.906,984.879,790.143,1033.894,796.383,1048.684,804.227,1049.662,755.757,990.401,766.008,1041.298,774.087,1052.899,783.566,1049.112,736.519,993.573,745.252,1040.689,755.326,1050.420,763.415,1047.106,722.277,996.259,727.106,1030.930,734.340,1039.936,741.552,1037.626
993.549,271.438,1001.146,436.113,833.422,462.617,798.233,695.004,767.498,886.175,1170.145,412.504,1288.172,623.881,1330.900,859.069,1037.235,816.188,918.868,832.621,749.031,,,,1141.788,799.982,1355.249,,,,951.118,244.927,1021.514,235.525,904.212,271.050,1071.839,247.711,,,,,,,,,,,,,5,0.210,1336.497,859.445,1311.516,896.974,1296.781,944.094,1300.462,981.341,1314.872,1004.708,1314.151,976.820,1318.833,1012.152,1321.468,1019.710,1326.148,1015.065,1340.782,975.504,1347.326,1013.201,1350.934,1008.138,1351.092,996.855,1363.068,963.236,1370.020,1004.174,1371.222,996.567,1367.976,983.730,1380.451,949.695,1390.028,986.878,1389.385,983.472,1387.745,977.315,762.146,924.245,791.705,938.122,817.817,975.181,819.099,1011.904,812.556,1041.442,783.488,978.832,790.042,1028.563,796.441,1044.013,804.845,1045.875,755.366,985.316,765.751,1036.651,774.148,1048.898,784.078,1044.991,736.131,989.471,745.005,1036.566,755.317,1047.174,763.256,1043.910,722.686,992.769,726.932,1027.800,734.351,1037.856,741.782,1037.537
993.977,271.418,1001.156,435.967,833.413,462.632,797.891,694.087,766.944,884.989,1170.540,412.499,1287.666,623.717,1330.904,858.377,1039.476,816.212,921.219,832.598,749.359,,,,1143.160,798.439,1357.278,,,,951.126,244.913,1021.732,234.774,904.475,271.121,1071.847,247.732,,,,,,,,,,,,,6,0.252,1336.725,860.200,1311.811,897.105,1296.363,944.453,1300.412,981.214,1314.162,1004.438,1313.936,975.833,1318.127,1011.356,1320.991,1019.556,1325.780,1015.983,1340.469,974.850,1346.259,1013.111,1349.968,1007.958,1350.082,996.560,1362.979,962.782,1369.168,1004.323,1370.421,996.486,1367.008,983.466,1380.501,949.735,1389.789,986.661,1388.865,982.633,1386.900,976.377,761.147,922.914,790.407,935.583,816.885,970.948,818.731,1006.674,812.776,1036.326,782.728,970.965,789.695,1021.183,796.517,1037.714,805.169,1040.801,754.608,978.524,765.410,1030.481,774.138,1043.336,784.236,1039.891,735.333,983.967,744.616,1031.041,754.999,1042.469,762.832,1039.578,722.414,988.406,726.417,1023.675,734.195,1034.312,741.672,1035.734
994.724,271.393,1001.179,436.322,833.408,462.536,797.327,692.936,766.373,883.432,1171.583,412.500,1286.858,623.645,1330.911,857.379,1042.504,815.049,925.334,831.752,749.622,,,,1145.265,795.000,1356.613,,,,951.142,244.893,1022.082,234.092,904.911,271.338,1071.857,247.765,,,,,,,,,,,,,7,0.294,1336.819,860.811,1312.150,897.048,1296.089,944.520,1300.476,980.660,1313.112,1003.756,1313.109,974.647,1316.614,1009.371,1320.208,1019.631,1325.544,1018.306,1339.825,974.193,1344.631,1013.212,1348.420,1008.171,1349.077,996.733,1362.302,962.426,1367.909,1004.553,1369.197,996.532,1365.637,983.628,1380.493,949.849,1389.535,986.224,1388.350,981.665,1385.513,975.334,760.243,919.728,788.770,931.425,815.488,964.677,818.238,999.805,812.862,1029.582,781.516,960.878,789.041,1011.441,796.867,1029.418,805.227,1034.191,753.459,969.809,765.053,1022.544,774.136,1036.038,783.971,1033.553,734.048,976.541,744.113,1023.634,754.274,1036.114,761.895,1033.882,721.265,982.846,725.388,1018.450,733.767,1029.200,741.197,1031.963
995.645,271.371,1001.203,436.203,833.412,462.786,796.373,691.730,765.961,881.141,1171.608,412.498,1286.725,623.883,1330.917,856.751,1044.229,814.454,927.443,831.142,749.835,,,,1147.208,793.536,1356.832,,,,951.155,244.869,1022.995,233.495,905.535,271.482,1071.866,247.782,,,,,,,,,,,,,8,0.336,1336.642,860.894,1312.351,896.979,1296.138,943.813,1300.274,979.762,1312.131,1002.506,1312.427,973.951,1315.285,1008.043,1319.288,1019.202,1325.360,1019.177,1339.157,973.854,1343.393,1013.282,1346.749,1008.760,1348.722,997.384,1361.659,962.153,1366.680,1004.497,1368.306,996.815,1364.835,984.395,1380.310,949.957,1389.160,986.027,1388.028,981.724,1384.864,975.236,759.461,914.760,787.241,926.317,814.053,957.423,817.394,992.370,813.021,1022.538,780.285,951.148,788.274,1001.223,796.866,1020.984,805.071,1027.350,752.060,960.622,764.403,1014.276,774.084,1028.178,783.550,1027.409,732.701,969.411,743.370,1016.460,753.453,1029.028,761.129,1027.829,719.730,977.530,724.487,1012.922,733.336,1023.062,740.401,1026.408
995.801,271.358,1001.222,436.200,833.413,462.939,795.318,689.521,765.873,877.402,1171.630,412.497,1286.689,623.785,1330.924,856.274,1042.988,813.195,927.209,830.550,751.039,,,,1147.632,792.372,1358.091,,,,951.161,244.843,1023.914,232.795,905.512,271.346,1071.880,247.800,,,,,,,,,,,,,9,0.378,1337.346,861.798,1312.684,897.032,1296.190,943.198,1299.610,979.579,1310.577,1002.008,1311.877,974.068,1314.851,1008.642,1318.955,1019.015,1325.071,1019.127,1338.997,974.131,1342.530,1013.513,1345.713,1008.631,1347.879,997.113,1361.372,962.259,1365.727,1004.694,1367.637,996.695,1364.357,984.410,1380.222,950.415,1388.901,986.492,1387.492,981.771,1384.395,975.130,758.874,908.266,786.092,920.506,812.700,949.716,816.512,985.088,812.755,1016.045,779.236,942.646,787.660,991.564,796.689,1013.203,804.974,1020.719,750.837,952.343,763.857,1006.296,773.862,1021.467,782.841,1022.184,731.523,962.669,742.615,1009.636,752.626,1022.356,760.578,1022.343,718.032,972.662,723.650,1007.378,732.928,1017.000,739.482,1020.094
