RElbow_x,RElbow_y,RWrist_x,RWrist_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,time,pitch,filename
-0.816,-0.718,-1.352,1.354,-0.712,-3.052,-0.041,0.619,0.0,-3000.0,AK_Pakad_Bag.csv
-0.827,-0.729,-1.353,1.358,-0.711,-3.087,-0.018,0.674,0.009999999999999787,-3000.0,AK_Pakad_Bag.csv
-0.838,-0.738,-1.353,1.361,-0.708,-3.103,-0.022,0.732,0.019999999999999574,-3000.0,AK_Pakad_Bag.csv
-0.849,-0.746,-1.352,1.362,-0.704,-3.099,-0.058,0.789,0.02999999999999936,-3000.0,AK_Pakad_Bag.csv
-0.86,-0.753,-1.352,1.362,-0.695,-3.072,-0.117,0.839,0.03999999999999915,-3000.0,AK_Pakad_Bag.csv
-0.871,-0.762,-1.352,1.359,-0.682,-3.026,-0.187,0.88,0.049999999999998934,-3000.0,AK_Pakad_Bag.csv
-0.88,-0.777,-1.351,1.356,-0.662,-2.963,-0.249,0.91,0.0600000000000005,-3000.0,AK_Pakad_Bag.csv
-0.888,-0.799,-1.351,1.351,-0.637,-2.889,-0.29,0.932,0.07000000000000028,-3000.0,AK_Pakad_Bag.csv
-0.896,-0.828,-1.35,1.347,-0.612,-2.811,-0.302,0.949,0.08000000000000007,-3000.0,AK_Pakad_Bag.csv
-0.903,-0.861,-1.349,1.343,-0.588,-2.733,-0.286,0.965,0.08999999999999986,-3000.0,AK_Pakad_Bag.csv
-0.909,-0.896,-1.349,1.34,-0.571,-2.659,-0.25,0.979,0.09999999999999964,-3000.0,AK_Pakad_Bag.csv
-0.916,-0.928,-1.348,1.337,-0.561,-2.59,-0.202,0.989,0.10999999999999943,-3000.0,AK_Pakad_Bag.csv
-0.924,-0.959,-1.348,1.334,-0.558,-2.524,-0.15,0.989,0.11999999999999922,-3000.0,AK_Pakad_Bag.csv
-0.935,-0.987,-1.348,1.331,-0.561,-2.459,-0.099,0.978,0.129999999999999,-3000.0,AK_Pakad_Bag.csv
-0.949,-1.017,-1.348,1.326,-0.568,-2.394,-0.05,0.952,0.14000000000000057,-3000.0,AK_Pakad_Bag.csv
-0.966,-1.051,-1.348,1.321,-0.577,-2.329,0.001,0.914,0.15000000000000036,-3000.0,AK_Pakad_Bag.csv
-0.986,-1.093,-1.349,1.316,-0.586,-2.267,0.055,0.869,0.16000000000000014,-3000.0,AK_Pakad_Bag.csv
-1.008,-1.141,-1.348,1.312,-0.593,-2.209,0.112,0.822,0.16999999999999993,-3000.0,AK_Pakad_Bag.csv
-1.029,-1.196,-1.348,1.308,-0.598,-2.157,0.17,0.777,0.17999999999999972,-3000.0,AK_Pakad_Bag.csv
-1.049,-1.254,-1.347,1.306,-0.598,-2.11,0.228,0.735,0.1899999999999995,-3000.0,AK_Pakad_Bag.csv
-1.066,-1.313,-1.347,1.304,-0.594,-2.069,0.282,0.696,0.1999999999999993,-3000.0,AK_Pakad_Bag.csv
-1.082,-1.372,-1.347,1.302,-0.584,-2.033,0.331,0.659,0.20999999999999908,-3000.0,AK_Pakad_Bag.csv
-1.097,-1.427,-1.347,1.299,-0.569,-2.003,0.374,0.621,0.22000000000000064,-3000.0,AK_Pakad_Bag.csv
-1.114,-1.481,-1.349,1.296,-0.553,-1.982,0.41,0.583,0.23000000000000043,-3000.0,AK_Pakad_Bag.csv
-1.133,-1.531,-1.35,1.292,-0.539,-1.977,0.44,0.546,0.2400000000000002,-3000.0,AK_Pakad_Bag.csv
-1.156,-1.577,-1.353,1.29,-0.53,-1.99,0.463,0.512,0.25,-3000.0,AK_Pakad_Bag.csv
-1.182,-1.62,-1.355,1.29,-0.528,-2.025,0.478,0.484,0.2599999999999998,-3000.0,AK_Pakad_Bag.csv
-1.209,-1.658,-1.358,1.291,-0.531,-2.078,0.483,0.459,0.2699999999999996,-3000.0,AK_Pakad_Bag.csv
-1.237,-1.691,-1.361,1.295,-0.536,-2.144,0.481,0.437,0.27999999999999936,-3000.0,AK_Pakad_Bag.csv
-1.264,-1.719,-1.364,1.299,-0.539,-2.213,0.471,0.413,0.28999999999999915,-3000.0,AK_Pakad_Bag.csv
-1.291,-1.746,-1.368,1.303,-0.537,-2.276,0.456,0.384,0.29999999999999893,-3000.0,AK_Pakad_Bag.csv
-1.317,-1.772,-1.372,1.306,-0.53,-2.325,0.436,0.351,0.3100000000000005,-3000.0,AK_Pakad_Bag.csv
-1.343,-1.799,-1.376,1.307,-0.519,-2.356,0.412,0.316,0.3200000000000003,-3000.0,AK_Pakad_Bag.csv
-1.371,-1.828,-1.381,1.307,-0.509,-2.37,0.38,0.283,0.33000000000000007,-3000.0,AK_Pakad_Bag.csv
-1.399,-1.857,-1.386,1.307,-0.502,-2.369,0.341,0.257,0.33999999999999986,-3000.0,AK_Pakad_Bag.csv
-1.428,-1.884,-1.391,1.306,-0.499,-2.359,0.292,0.241,0.34999999999999964,-3000.0,AK_Pakad_Bag.csv
-1.454,-1.906,-1.396,1.305,-0.499,-2.342,0.236,0.236,0.35999999999999943,-3000.0,AK_Pakad_Bag.csv
-1.477,-1.921,-1.4,1.305,-0.498,-2.322,0.175,0.238,0.3699999999999992,-3000.0,AK_Pakad_Bag.csv
-1.494,-1.928,-1.403,1.303,-0.49,-2.3,0.116,0.245,0.379999999999999,-3000.0,AK_Pakad_Bag.csv
